Title,Original Category/e_dist,Living,Entertainment,Justice,Travel,Health,Politics,Technology,Outcome
Opening statements set in trial of friend of Boston Marathon bombing suspect,us,0.12148149532415875,0.13628911835540036,0.12421602226633162,0.11444271294123678,0.11248997498487771,0.11695557703267197,0.11103531344788956,Health
Police search tree nursery after possible sighting of deadly ambush suspect,us,0.15336226370318076,0.16930045732975868,0.15337674050673555,0.14855273936620447,0.13878113028021852,0.15350359401748265,0.14759764957186133,Health
"Once derided as domain of slackers, video game playing now scholarship worthy, school says",us,0.12261877593549377,0.1495480234625254,0.12499186325289499,0.11620130381424472,0.11481214668033937,0.12276997380891637,0.11824727423220228,Health
Parents of ex-Army Ranger held by ISIS release letter written by son,us,0.16945426790118104,0.18492595263304862,0.1704727310538359,0.16412317938332766,0.164436910718831,0.16668078506003836,0.1668943228535734,Travel
2 injured when train derails in Louisiana,us,0.1397626766768288,0.16308545454822335,0.1378765112404405,0.1344318167403712,0.13336087651873058,0.13614994077117182,0.13839520750070422,Health
North Las Vegas man indicted in brutal beatings of prostitute,us,0.16814818898615158,0.1826268386753223,0.16518176122132563,0.1656980758271881,0.14844629736734227,0.16184681867237877,0.16229204429093907,Health
Obama Dedicates Disabled Veterans’ Memorial in Washington,us,0.12080414362344866,0.15248699926433845,0.12144262638527993,0.11585951743196678,0.1128019072662321,0.11368528028320718,0.12084373308578529,Health
Man severely beaten outside Angels Stadium in apparently unprovoked attack,us,0.15811608461900034,0.17234696064557886,0.158510950649891,0.15290591316912794,0.14794752571772513,0.15270572916167674,0.15428171764899978,Health
Police seek 3 men in brutal beating of baseball fan in Angels Stadium parking lot,us,0.14901222647825446,0.16811436267365262,0.14776863735780824,0.14532468008036442,0.14288085808678633,0.1485331415650553,0.14510481521193416,Health
FBI head says Chinese hackers like a &apos;drunk burglar&apos; aiming to steal from US companies,us,0.20670192524171707,0.22294627131072212,0.20751003592610667,0.20233765522369132,0.2027801926642762,0.20539807859259496,0.20562270963433169,Travel
"Wine-makers in Syria and Lebanon soldier on despite civil war, Islamic extremism",world,0.11296492450320622,0.14469348966182632,0.11644927395393974,0.10590640267902483,0.10706439976140195,0.11497111138633152,0.11121996190276008,Travel
Shipment of medical supplies to fight Ebola in Sierra Leone reportedly delayed for weeks,world,0.13655340722486264,0.1575331595035209,0.13716719466611685,0.1301332521752831,0.1264640782662708,0.13126453858750517,0.1320356571542423,Health
"Hong Kong protest sites quiet after tumultuous week, but students vow to keep up pressure",world,0.18123716846283497,0.19216711539499542,0.18164672639665702,0.1770946664281514,0.1707596228913865,0.17608836598040084,0.17250621959273343,Health
South Korea says surprise visit from Northern delegation &apos;small but meaningful step&apos;,world,0.15040872883092268,0.16492379079126365,0.14728488890386654,0.141522872999873,0.13977569004572904,0.14391571992568616,0.14284813746825667,Health
Typhoon in Japan washes 3 American airmen out to sea; trains stalled and flights canceled,world,0.10981936348596821,0.1415503469429695,0.10836976283884982,0.10348734171175554,0.09763002736515526,0.10833578635681998,0.10453921002982927,Health
Mexico officials claim 28 mutilated bodies found in mass grave,world,0.15387345688032028,0.16824614724841197,0.1526996872818608,0.14868794621348996,0.14999146641843006,0.149849921090297,0.14974839270553522,Travel
Hong Kong civil servants return to work as pro-democracy protests dwindle,world,0.15168288099147273,0.17146651199614832,0.1539062530314132,0.1452905129289108,0.1497539817605936,0.1507367453859177,0.1489749771330339,Travel
"Mexican prosecutor says 28 bodies found in clandestine grave, but too damaged for quick ID",world,0.1371227358329879,0.15507168976841257,0.13532783953376148,0.13299560321469225,0.13195488779469872,0.1346378876668486,0.13207250069858434,Health
"Zigging and zagging, Brazil&apos;s election of surprises puts Rousseff into runoff with Neves",world,0.15686634042064332,0.1784550901204724,0.1604243574631358,0.1506716238445321,0.152773110736525,0.1553857103580962,0.15494999286214128,Travel
Brazil president forced into runoff election,world,0.1704794304253676,0.18688173953967374,0.17336550060898034,0.16442980901748405,0.16889131989628628,0.1689764373056756,0.16755547984679361,Travel
"Tech Q&amp;A: Ello, Wi-Fi safety, Windows 10, and more",tech,0.14687999758406292,0.17343245643530794,0.14937493599679572,0.1431953809063733,0.13862489694163316,0.14894935649626345,0.14344346198889874,Health
3 ways crooks attack on public Wi-Fi,tech,0.15517870845566115,0.1762251723542422,0.1592261355667879,0.14959129082459416,0.15116996488140674,0.15641685044603484,0.15146217644411397,Travel
How do I stop robocalls and telemarketers?,tech,0.12522989433252446,0.15119152314555914,0.1278821421187916,0.12058752273155517,0.11542024212112809,0.12417996367654133,0.11973371220242016,Health
Has Derek Jeter hit a social media home run?,tech,0.11045501969213478,0.14667084319459256,0.11444859836920665,0.10384463051608106,0.11170049022194176,0.11460426736005232,0.11264664504918052,Travel
Man allegedly shoots down neighbor’s drone with shotgun,tech,0.13321526973188427,0.1579925577202463,0.1337018447028553,0.12761999636707322,0.11471838119735431,0.12326077126853886,0.12939602059632604,Health
Smartphone breathalyzers: Tech that takes your breath away,tech,0.09504045180725308,0.132439580158747,0.09860937512047559,0.08838265503000434,0.08498598178713347,0.10033015974568382,0.09070154192652234,Health
JP Morgan Chase hack: 4 steps you must do now,tech,0.11532224858746418,0.14352471031174996,0.1187885167993988,0.11065283836978426,0.10377832433442624,0.11407300360907482,0.11002451973605618,Health
"New Google messaging app rumored for 2015, with no Google account needed",tech,0.1420080456933451,0.1737069069814599,0.13898429837406856,0.13759826070277975,0.1337575328429401,0.13960812409334325,0.14248787127731785,Health
Facebook tightens research guidelines,tech,0.21991886809898997,0.22946431660500513,0.22200632740426673,0.2157740325457623,0.2122924658463736,0.21678130338468882,0.21415410389273642,Health
Navy test-fires upgraded Tomahawk,tech,0.11262473777071139,0.1355189757949042,0.11486741836863643,0.10485007234710955,0.10536390296671332,0.10828288487403506,0.10578756772956874,Travel
"Brady, Patriots bounce back, rout Bengals",sports,0.12716472017729655,0.1470419206494604,0.13039105350993055,0.12043401719804607,0.11976068514174508,0.12446909477249436,0.12103994196234075,Health
"Jimmy Feix, Western Kentucky&apos;s winningest football coach and former AD, dead at 83",sports,0.17147163630440534,0.18796672122423747,0.17286282165082267,0.1665131282556228,0.16399989475187232,0.16931329907784518,0.1674870081377807,Health
"Last unbeaten team in NFL, Bengals take 1st loss with 43-17 drubbing by Patriots",sports,0.15771336167564665,0.17653896288009038,0.16007114523382732,0.15294420467809286,0.1521796290299609,0.15818287210217816,0.15324564166352103,Health
